removed_word,similarity,sentence_index,word_index,punctuation
afraid,0.9910814,2,24,.
to,0.99793464,2,25,.
go,0.998443,2,26,.
out,0.9979428,2,27,.
on,0.99690473,2,28,.
a,0.9989145,2,29,.
limb,0.99267817,2,30,.
and,0.9975634,2,31,.
say,0.99589723,2,32,.
i,0.998734,2,33,.
should,0.9978489,2,34,.
put,0.99857104,2,35,.
my,0.9993157,2,36,.
full,0.9966602,2,37,.
effort,0.9936516,2,38,.
into,0.99910724,2,39,.
pursuing,0.9947473,2,40,.
where,0.9827197,2,41,.
my,0.9852759,2,42,.
hunch,0.9646341,2,43,.
leads,0.99685705,2,44,.
in,0.9174868,3,0,:
fact,0.98479,3,1,:
im,0.94533473,3,2,:
navigating,0.8878065,3,3,:
a,0.9893705,3,4,:
version,0.9190005,3,5,:
of,0.95078295,3,6,:
this,0.9413166,3,7,:
conflict,0.8325497,3,8,:
right,0.98523027,3,9,:
now,0.9557468,3,10,:
last,0.9880762,4,0,.
week,0.9872989,4,1,.
i,0.99406004,4,2,.
was,0.99728614,4,3,.
catching,0.978865,4,4,.
up,0.9315723,4,5,.
with,0.99806875,4,6,.
one,0.99393964,4,7,.
of,0.9981965,4,8,.
my,0.99834836,4,9,.
friends,0.97992945,4,10,.
going,0.98630345,4,11,.
through,0.97048247,4,12,.
something,0.99593955,4,13,.
similar,0.9900793,4,14,.
and,0.9975488,4,15,.
ended,0.99424356,4,16,.
up,0.995303,4,17,.
describing,0.98894644,4,18,.
to,0.99739325,4,19,.
them,0.9950219,4,20,.
a,0.996112,4,21,.
mental,0.9682905,4,22,.
model,0.96529293,4,23,.
of,0.9805042,4,24,.
exploration,0.9424808,4,25,.
that,0.99773115,4,26,.
ive,0.9780671,4,27,.
developed,0.98692876,4,28,.
in,0.9916209,4,29,.
the,0.999438,4,30,.
hopes,0.98761594,4,31,.
that,0.99961054,4,32,.
it,0.99822485,4,33,.
was,0.99933946,4,34,.
helpful,0.9785478,4,35,.
its,0.98952484,5,0,.
a,0.98149973,5,1,.
framework,0.83873355,5,2,.
i,0.99238724,5,3,.
think,0.9883367,5,4,.
my,0.98933816,5,5,.
past,0.9421651,5,6,.
self,0.9805018,5,7,.
would,0.97910094,5,8,.
have,0.9868878,5,9,.
found,0.97851276,5,10,.
meaningful,0.9491497,5,11,.
so,0.99535185,5,12,.
im,0.99230194,5,13,.
also,0.9979122,5,14,.
sharing,0.9774721,5,15,.
it,0.995656,5,16,.
with,0.9970396,5,17,.
you,0.9960923,5,18,.
dear,0.99566424,5,19,.
reader,0.99514115,5,20,.
lets,0.9824068,6,0,.
begin,0.9816257,6,1,.
by,0.99723047,6,2,.
understanding,0.9829856,6,3,.
that,0.99651814,6,4,.
exploration,0.83950555,6,5,.
is,0.98770845,6,6,.
far,0.9738301,6,7,.
from,0.98561007,6,8,.
the,0.9966406,6,9,.
only,0.9756349,6,10,.
way,0.9849938,6,11,.
to,0.9979083,6,12,.
do,0.9971174,6,13,.
meaningful,0.9896657,6,14,.
creative,0.9410524,6,15,.
work,0.9879084,6,16,.
in,0.99705815,6,17,.
the,0.9942452,6,18,.
world,0.98023236,6,19,.
following,0.98895794,7,0,.
popular,0.96549666,7,1,.
rhetoric,0.95279586,7,2,.
it,0.9962075,7,3,.
was,0.99761313,7,4,.
easy,0.99164987,7,5,.
for,0.9982245,7,6,.
my,0.9881346,7,7,.
past,0.98908174,7,8,.
self,0.9953123,7,9,.
to,0.99723756,7,10,.
fall,0.9972508,7,11,.
victim,0.9879576,7,12,.
to,0.9886991,7,13,.
the,0.998418,7,14,.
idea,0.9885764,7,15,.
that,0.9865454,7,16,.
somehow,0.9987927,7,17,.
exploratory,0.98667973,7,18,.
openended,0.9737443,7,19,.
researchy,0.97699964,7,20,.
work,0.99697584,7,21,.
was,0.99642146,7,22,.
more,0.998783,7,23,.
virtuous,0.98641944,7,24,.
and,0.99866545,7,25,.
interesting,0.9956964,7,26,.
than,0.9923492,7,27,.
the,0.9991743,7,28,.
work,0.9982748,7,29,.
of,0.9972112,7,30,.
incremental,0.9833967,7,31,.
improvements,0.9836064,7,32,.
on,0.988025,8,0,.
the,0.9991237,8,1,.
contrary,0.9915524,8,2,.
i,0.9944823,8,3,.
now,0.9977681,8,4,.
think,0.9960535,8,5,.
its,0.99803287,8,6,.
quite,0.9992187,8,7,.
likely,0.9895358,8,8,.
that,0.9972354,8,9,.
most,0.9759763,8,10,.
valuable,0.9392288,8,11,.
things,0.98258615,8,12,.
were,0.9913651,8,13,.
brought,0.9914277,8,14,.
into,0.9928463,8,15,.
this,0.9930173,8,16,.
world,0.9709769,8,17,.
by,0.9953198,8,18,.
a,0.99813545,8,19,.
million,0.9881351,8,20,.
little,0.99400795,8,21,.
incremental,0.9797283,8,22,.
improvements,0.9633271,8,23,.
rather,0.99727285,8,24,.
than,0.9971897,8,25,.
by,0.9984596,8,26,.
a,0.99924594,8,27,.
lightning,0.97317815,8,28,.
strike,0.99284124,8,29,.
of,0.99504715,8,30,.
a,0.99888587,8,31,.
discovery,0.9791574,8,32,.
incremental,0.8713117,9,0,.
work,0.93982995,9,1,.
can,0.9873688,9,2,.
be,0.99761117,9,3,.
just,0.997304,9,4,.
as,0.97824675,9,5,.
rewarding,0.93547696,9,6,.
as,0.9891517,9,7,.
exploration,0.91884506,9,8,.
when,0.96606964,10,0,:
you,0.9615678,10,1,:
work,0.902527,10,2,:
in,0.9642596,10,3,:
a,0.98478353,10,4,:
known,0.87238264,10,5,:
domain,0.84336936,10,6,:
but,0.98528254,11,0,.
youre,0.9601767,11,1,.
not,0.9260094,11,2,.
here,0.9246124,11,3,.
to,0.97624135,11,4,.
work,0.9654386,11,5,.
on,0.9911759,11,6,.
optimizing,0.8527514,11,7,.
whats,0.97586536,11,8,.
known,0.95797896,11,9,.
youre,0.9475813,12,0,.
here,0.9503489,12,1,.
because,0.96396154,12,2,.
something,0.98772806,12,3,.
about,0.9904974,12,4,.
the,0.99400204,12,5,.
process,0.95934725,12,6,.
of,0.9171978,12,7,.
exploration,0.79493105,12,8,.
draws,0.95470136,12,9,.
you,0.98775935,12,10,.
in,0.99126667,12,11,.
maybe,0.95898974,13,0,.
its,0.9774838,13,1,.
the,0.98036146,13,2,.
breadth,0.9002894,13,3,.
of,0.93454653,13,4,.
ideas,0.8990085,13,5,.
you,0.97812474,13,6,.
encounter,0.97889066,13,7,.
in,0.9877471,13,8,.
exploration,0.92721593,13,9,.
perhaps,0.9583489,14,0,.
its,0.9700283,14,1,.
about,0.95653814,14,2,.
the,0.9863483,14,3,.
surprising,0.8729695,14,4,.
things,0.96333957,14,5,.
you,0.9720259,14,6,.
learn,0.92364526,14,7,.
on,0.95020634,14,8,.
the,0.98415005,14,9,.
way,0.9380938,14,10,.
but,0.99372244,15,0,.
youve,0.9868804,15,1,.
decided,0.98996854,15,2,.
youre,0.99424917,15,3,.
more,0.9913128,15,4,.
interested,0.98480964,15,5,.
in,0.99848115,15,6,.
navigating,0.994817,15,7,.
and,0.99722064,15,8,.
mapping,0.9845966,15,9,.
out,0.99808073,15,10,.
unknown,0.9869881,15,11,.
mazes,0.9782084,15,12,.
of,0.98950934,15,13,.
ideas,0.97672546,15,14,.
than,0.9786323,15,15,.
building,0.98964316,15,16,.
cathedrals,0.9458794,15,17,.
on,0.9955033,15,18,.
wellpaved,0.9829491,15,19,.
streets,0.9770311,15,20,.
heres,0.9384608,16,0,:
what,0.95612115,16,1,:
i,0.9466239,16,2,:
would,0.93150145,16,3,:
tell,0.8879136,16,4,:
my,0.939263,16,5,:
past,0.89540267,16,6,:
self,0.9563683,16,7,:
if,0.9897814,17,0,.
youre,0.9908395,17,1,.
on,0.9963912,17,2,.
this,0.9902566,17,3,.
path,0.97413546,17,4,.
of,0.9901061,17,5,.
exploration,0.93300354,17,6,.
theres,0.99093693,17,7,.
probably,0.99414057,17,8,.
some,0.99534106,17,9,.
voice,0.9605222,17,10,.
inside,0.96039593,17,11,.
of,0.99870896,17,12,.
you,0.98258704,17,13,.
thats,0.9957362,17,14,.
worth,0.94627166,17,15,.
listening,0.9623673,17,16,.
to,0.99727666,17,17,.
this,0.9588978,18,0,.
is,0.98833233,18,1,.
your,0.96349347,18,2,.
taste,0.8935059,18,3,.
your,0.97309643,18,4,.
gut,0.89865935,18,5,.
feeling,0.9439038,18,6,.
whatever,0.98056066,18,7,.
you,0.9936745,18,8,.
want,0.99817544,18,9,.
to,0.98980093,18,10,.
call,0.9444524,18,11,.
it,0.9889723,18,12,.
its,0.9951553,19,0,.
the,0.99729836,19,1,.
part,0.9929403,19,2,.
of,0.9979785,19,3,.
your,0.9978115,19,4,.
intuition,0.9918868,19,5,.
that,0.9979897,19,6,.
tells,0.995714,19,7,.
you,0.9987653,19,8,.
this,0.979566,19,9,.
might,0.9961401,19,10,.
not,0.9908799,19,11,.
look,0.98129267,19,12,.
that,0.9971743,19,13,.
great,0.9847018,19,14,.
right,0.9958176,19,15,.
now,0.9903611,19,16,.
but,0.99576545,19,17,.
on,0.99884343,19,18,.
the,0.9994806,19,19,.
other,0.99817055,19,20,.
side,0.9974339,19,21,.
of,0.9965546,19,22,.
this,0.99503326,19,23,.
uncertain,0.99315363,19,24,.
maze,0.98955834,19,25,.
of,0.9685463,19,26,.
ideas,0.9851652,19,27,.
is,0.9979696,19,28,.
something,0.9992589,19,29,.
worth,0.99407315,19,30,.
the,0.9981533,19,31,.
trouble,0.99539363,19,32,.
its,0.9964744,19,33,.
worth,0.99329716,19,34,.
listening,0.98476464,19,35,.
to,0.99824536,19,36,.
your,0.996175,19,37,.
intuition,0.9861368,19,38,.
because,0.99593085,19,39,.
this,0.9977771,19,40,.
is,0.99926376,19,41,.
whatll,0.99769396,19,42,.
set,0.9898272,19,43,.
your,0.99667853,19,44,.
perspective,0.98898363,19,45,.
apart,0.9961046,19,46,.
from,0.9984838,19,47,.
everyone,0.9959542,19,48,.
else,0.99929035,19,49,.
whos,0.99753904,19,50,.
also,0.999468,19,51,.
looking,0.9973884,19,52,.
around,0.99919075,19,53,.
for,0.99920523,19,54,.
problems,0.9938026,19,55,.
to,0.9987404,19,56,.
solve,0.99801964,19,57,.
in,0.99214786,20,0,.
the,0.9925131,20,1,.
beginning,0.97414434,20,2,.
your,0.9836504,20,3,.
intuition,0.84432626,20,4,.
is,0.9812027,20,5,.
all,0.9456622,20,6,.
that,0.99729204,20,7,.
you,0.9962615,20,8,.
have,0.99160624,20,9,.
as,0.9935322,20,10,.
you,0.9957854,20,11,.
begin,0.9913645,20,12,.
your,0.99810064,20,13,.
exploration,0.94115907,20,14,.
this,0.9799006,21,0,.
voice,0.93003905,21,1,.
—,0.9833449,21,2,.
your,0.9390633,21,3,.
intuition,0.8298104,21,4,.
—,0.98726547,21,5,.
is,0.9948244,21,6,.
strongest,0.92757714,21,7,.
at,0.9956859,21,8,.
the,0.9984336,21,9,.
outset,0.9568286,21,10,.
at,0.9919765,22,0,.
the,0.9988284,22,1,.
start,0.98101234,22,2,.
of,0.9972218,22,3,.
your,0.99527764,22,4,.
exploration,0.94279647,22,5,.
when,0.98510087,22,6,.
you,0.99857163,22,7,.
have,0.9980249,22,8,.
very,0.9978457,22,9,.
few,0.98517025,22,10,.
hard,0.9927925,22,11,.
facts,0.96833944,22,12,.
about,0.99481404,22,13,.
what,0.9947095,22,14,.
will,0.99689496,22,15,.
work,0.9970582,22,16,.
out,0.99692655,22,17,.
in,0.9983573,22,18,.
the,0.9977664,22,19,.
end,0.99492246,22,20,.
you,0.9941057,22,21,.
can,0.99250716,22,22,.
lean,0.9833642,22,23,.
on,0.9977398,22,24,.
your,0.9979594,22,25,.
inner,0.984512,22,26,.
voice,0.9754887,22,27,.
and,0.99643475,22,28,.
the,0.99743706,22,29,.
intrinsic,0.9955339,22,30,.
excitement,0.98415506,22,31,.
you,0.9986688,22,32,.
feel,0.99839973,22,33,.
about,0.9983895,22,34,.
the,0.9994322,22,35,.
potential,0.99630415,22,36,.
of,0.9977378,22,37,.
your,0.9944231,22,38,.
idea,0.9667556,22,39,.
to,0.9958208,22,40,.
keep,0.98586744,22,41,.
you,0.9950367,22,42,.
going,0.9934637,22,43,.
nearly,0.98721766,23,0,.
all,0.9888786,23,1,.
of,0.99641085,23,2,.
your,0.9905423,23,3,.
motivation,0.9085586,23,4,.
comes,0.9831682,23,5,.
from,0.99037254,23,6,.
your,0.9916843,23,7,.
intuition,0.85970557,23,8,.
at,0.9772453,23,9,.
the,0.9942549,23,10,.
starting,0.94467324,23,11,.
line,0.9573853,23,12,.
but,0.9837948,24,0,.
excitement,0.85339165,24,1,.
from,0.98760355,24,2,.
your,0.9719244,24,3,.
intuition,0.82783026,24,4,.
is,0.98760927,24,5,.
volatile,0.93340933,24,6,.
as,0.99192506,25,0,.
time,0.95820534,25,1,.
passes,0.98763126,25,2,.
and,0.99504477,25,3,.
as,0.9936731,25,4,.
you,0.9864014,25,5,.
run,0.9852177,25,6,.
experiments,0.85674703,25,7,.
that,0.99404943,25,8,.
dont,0.9896374,25,9,.
succeed,0.9836814,25,10,.
that,0.9959198,25,11,.
innate,0.99510926,25,12,.
excitement,0.9318364,25,13,.
you,0.99495506,25,14,.
felt,0.99366474,25,15,.
at,0.9918024,25,16,.
the,0.9980742,25,17,.
beginning,0.9843674,25,18,.
will,0.9938518,25,19,.
begin,0.99662083,25,20,.
to,0.9988319,25,21,.
dwindle,0.97762287,25,22,.
to,0.9946621,26,0,.
keep,0.9793129,26,1,.
your,0.9973008,26,2,.
momentum,0.9474423,26,3,.
you,0.99293774,26,4,.
need,0.9887196,26,5,.
to,0.9985521,26,6,.
replenish,0.98011917,26,7,.
your,0.9987805,26,8,.
motivation,0.96523243,26,9,.
over,0.986665,26,10,.
time,0.9826147,26,11,.
with,0.9973469,26,12,.
evidence,0.95558894,26,13,.
that,0.9933696,26,14,.
backs,0.99081355,26,15,.
your,0.99555075,26,16,.
intuition,0.9706211,26,17,.
and,0.9967127,26,18,.
your,0.99857116,26,19,.
vision,0.978334,26,20,.
there,0.9931663,27,0,.
are,0.9983139,27,1,.
many,0.9980782,27,2,.
shortterm,0.96607643,27,3,.
fauxremedies,0.9670502,27,4,.
to,0.9890385,27,5,.
faltering,0.97704387,27,6,.
intrinsic,0.98533684,27,7,.
excitement,0.9545421,27,8,.
—,0.9927455,27,9,.
raising,0.9870734,27,10,.
money,0.97929925,27,11,.
external,0.99047536,27,12,.
validation,0.9924545,27,13,.
encouragements,0.9950551,27,14,.
from,0.99906373,27,15,.
friends,0.99351,27,16,.
and,0.99816716,27,17,.
family,0.9948833,27,18,.
—,0.9976862,27,19,.
but,0.99803495,27,20,.
all,0.99771607,27,21,.
of,0.9993651,27,22,.
these,0.99896073,27,23,.
are,0.9967538,27,24,.
like,0.9906539,27,25,.
borrowing,0.98840207,27,26,.
your,0.99241245,27,27,.
motivation,0.98765016,27,28,.
on,0.99703884,27,29,.
debt,0.9824206,27,30,.
eventually,0.9872123,28,0,.
theyll,0.97542566,28,1,.
run,0.97766477,28,2,.
out,0.95154953,28,3,.
and,0.99602324,28,4,.
youll,0.98935676,28,5,.
be,0.9959923,28,6,.
left,0.9958213,28,7,.
with,0.9985331,28,8,.
a,0.9983257,28,9,.
bigger,0.99247116,28,10,.
gap,0.94572806,28,11,.
you,0.9926418,28,12,.
need,0.99240637,28,13,.
to,0.99813646,28,14,.
fill,0.9839935,28,15,.
with,0.9916452,28,16,.
realworld,0.97389555,28,17,.
evidence,0.965842,28,18,.
of,0.98441887,28,19,.
the,0.9984223,28,20,.
correctness,0.95612276,28,21,.
of,0.9943972,28,22,.
your,0.98910594,28,23,.
vision,0.907882,28,24,.
the,0.9963435,29,0,.
only,0.9841444,29,1,.
way,0.990849,29,2,.
to,0.99891347,29,3,.
sustain,0.98236245,29,4,.
your,0.9977853,29,5,.
motivation,0.9680869,29,6,.
long,0.9390004,29,7,.
term,0.98717636,29,8,.
is,0.9895825,29,9,.
to,0.9983265,29,10,.
rapidly,0.9857647,29,11,.
replenish,0.9907863,29,12,.
your,0.998949,29,13,.
excitement,0.98179704,29,14,.
and,0.9950597,29,15,.
motivation,0.9949181,29,16,.
with,0.9967049,29,17,.
evidence,0.98366016,29,18,.
that,0.9959548,29,19,.
your,0.9959035,29,20,.
vision,0.94041514,29,21,.
is,0.9983829,29,22,.
correct,0.98811406,29,23,.
evidence,0.95469147,30,0,.
comes,0.97412103,30,1,.
from,0.973724,30,2,.
testing,0.9665613,30,3,.
clear,0.97881603,30,4,.
falsifiable,0.9644071,30,5,.
claims,0.977359,30,6,.
about,0.9916277,30,7,.
your,0.9707769,30,8,.
vision,0.9306438,30,9,.
against,0.990975,30,10,.
the,0.99526286,30,11,.
real,0.96790695,30,12,.
world,0.98219013,30,13,.
for,0.9922238,31,0,:
my,0.99597645,31,1,:
personal,0.97509813,31,2,:
explorations,0.9493838,31,3,:
heres,0.97810197,31,4,:
a,0.97782683,31,5,:
claim,0.9289545,31,6,:
that,0.99769485,31,7,:
i,0.9962663,31,8,:
can,0.986783,31,9,:
use,0.989081,31,10,:
to,0.9899356,31,11,:
find,0.98860127,31,12,:
evidence,0.9696373,31,13,:
to,0.995033,31,14,:
support,0.9802748,31,15,:
my,0.9804627,31,16,:
vision,0.93185675,31,17,:
by,0.9973943,32,0,.
using,0.99247634,32,1,.
interfaces,0.92782605,32,2,.
that,0.9817117,32,3,.
expose,0.99160564,32,4,.
the,0.99862754,32,5,.
inner,0.9888146,32,6,.
workings,0.99408185,32,7,.
of,0.9953373,32,8,.
machine,0.9538689,32,9,.
learning,0.95611477,32,10,.
models,0.97572535,32,11,.
experts,0.9835844,32,12,.
in,0.99743074,32,13,.
technical,0.98405087,32,14,.
and,0.99427885,32,15,.
creative,0.97975504,32,16,.
jobs,0.9791693,32,17,.
can,0.9956175,32,18,.
uncover,0.9977197,32,19,.
insight,0.99373174,32,20,.
that,0.99762875,32,21,.
was,0.9961827,32,22,.
otherwise,0.99847984,32,23,.
inaccessible,0.99017936,32,24,.
to,0.99943066,32,25,.
them,0.99905676,32,26,.
this,0.9782363,33,0,.
claim,0.90048856,33,1,.
can,0.9883052,33,2,.
still,0.98717535,33,3,.
be,0.99339,33,4,.
more,0.9875505,33,5,.
precise,0.91732025,33,6,.
but,0.98366916,33,7,.
the,0.9885969,33,8,.
bones,0.84260106,33,9,.
are,0.99072295,33,10,.
there,0.9922581,33,11,.
i,0.9942132,34,0,.
can,0.99411047,34,1,.
polish,0.992067,34,2,.
this,0.99209386,34,3,.
into,0.9959552,34,4,.
a,0.9982947,34,5,.
testable,0.98435426,34,6,.
statement,0.98654467,34,7,.
about,0.9915918,34,8,.
the,0.9980125,34,9,.
real,0.97599906,34,10,.
world,0.9935598,34,11,.
build,0.9668129,34,12,.
prototypes,0.9816334,34,13,.
put,0.99437094,34,14,.
it,0.99776256,34,15,.
in,0.99879754,34,16,.
the,0.99935526,34,17,.
hands,0.99678034,34,18,.
of,0.9975815,34,19,.
experts,0.9920593,34,20,.
and,0.9984411,34,21,.
collect,0.9970471,34,22,.
evidence,0.9929056,34,23,.
supporting,0.9983367,34,24,.
my,0.9954233,34,25,.
vision,0.9976201,34,26,.
that,0.99000525,34,27,.
interpretable,0.9794962,34,28,.
machine,0.9676432,34,29,.
learning,0.97357744,34,30,.
models,0.9932798,34,31,.
can,0.9988903,34,32,.
be,0.9993095,34,33,.
a,0.9995944,34,34,.
foundation,0.99821967,34,35,.
for,0.99884105,34,36,.
transformative,0.9786585,34,37,.
new,0.9934084,34,38,.
information,0.98880064,34,39,.
interfaces,0.97700274,34,40,.
very,0.9885785,35,0,.
frequently,0.9098826,35,1,.
your,0.97366434,35,2,.
initial,0.9304964,35,3,.
claim,0.8691946,35,4,.
will,0.9919534,35,5,.
turn,0.9929936,35,6,.
out,0.99232626,35,7,.
to,0.99827075,35,8,.
be,0.9948601,35,9,.
incorrect,0.9161926,35,10,.
this,0.96605563,36,0,.
doesnt,0.8943769,36,1,.
mean,0.92346406,36,2,.
your,0.95747125,36,3,.
vision,0.8250628,36,4,.
is,0.98759305,36,5,.
doomed,0.84977734,36,6,.
on,0.96897876,37,0,.
the,0.9981511,37,1,.
contrary,0.97414064,37,2,.
this,0.98794174,37,3,.
often,0.9869855,37,4,.
gives,0.9857681,37,5,.
you,0.9962624,37,6,.
a,0.999043,37,7,.
good,0.99065816,37,8,.
opportunity,0.9859382,37,9,.
to,0.9973503,37,10,.
understand,0.9870392,37,11,.
where,0.9911486,37,12,.
your,0.99526864,37,13,.
intuition,0.97296345,37,14,.
and,0.9961616,37,15,.
the,0.99824476,37,16,.
real,0.9875792,37,17,.
world,0.98911977,37,18,.
diverged,0.976172,37,19,.
and,0.99656725,37,20,.
come,0.99574155,37,21,.
up,0.99644935,37,22,.
with,0.99905074,37,23,.
a,0.99938,37,24,.
more,0.9969038,37,25,.
precise,0.99436903,37,26,.
statement,0.9929012,37,27,.
of,0.99785703,37,28,.
what,0.992102,37,29,.
initially,0.9833681,37,30,.
felt,0.9878828,37,31,.
right,0.9798376,37,32,.
in,0.9967691,37,33,.
your,0.9911534,37,34,.
gut,0.968449,37,35,.
while,0.99088264,38,0,.
collecting,0.9686553,38,1,.
evidence,0.9725163,38,2,.
that,0.99042296,38,3,.
supports,0.9953874,38,4,.
your,0.9975783,38,5,.
vision,0.9843955,38,6,.
motivates,0.9815078,38,7,.
you,0.9986774,38,8,.
towards,0.998023,38,9,.
your,0.9950539,38,10,.
goal,0.9892752,38,11,.
finding,0.9923295,38,12,.
evidence,0.99152094,38,13,.
that,0.9893381,38,14,.
contradicts,0.9566039,38,15,.
your,0.9962952,38,16,.
claim,0.9824674,38,17,.
can,0.997154,38,18,.
bring,0.9964615,38,19,.
muchneeded,0.99281347,38,20,.
clarity,0.9749642,38,21,.
to,0.99881375,38,22,.
your,0.99881995,38,23,.
vision,0.9934843,38,24,.
once,0.99100846,39,0,.
youve,0.9965684,39,1,.
collected,0.9938258,39,2,.
enough,0.9962369,39,3,.
evidence,0.9868554,39,4,.
to,0.9982674,39,5,.
support,0.99388677,39,6,.
your,0.99540734,39,7,.
initial,0.98446345,39,8,.
vision,0.9445118,39,9,.
youll,0.99342,39,10,.
often,0.9944713,39,11,.
see,0.99764425,39,12,.
that,0.9977331,39,13,.
the,0.9988688,39,14,.
answers,0.9867779,39,15,.
you,0.9984653,39,16,.
found,0.9976814,39,17,.
through,0.99802506,39,18,.
your,0.998264,39,19,.
evidencegathering,0.98394585,39,20,.
experiments,0.9789207,39,21,.
gave,0.9966467,39,22,.
rise,0.99857473,39,23,.
to,0.99814594,39,24,.
many,0.99760026,39,25,.
more,0.99754596,39,26,.
new,0.9946698,39,27,.
bets,0.9511324,39,28,.
youre,0.9921028,39,29,.
interested,0.9928943,39,30,.
in,0.99835503,39,31,.
taking,0.9956473,39,32,.
that,0.9939188,40,0,.
same,0.99160624,40,1,.
taste,0.96234083,40,2,.
for,0.9752369,40,3,.
good,0.98086774,40,4,.
ideas,0.9482973,40,5,.
you,0.989555,40,6,.
had,0.99606425,40,7,.
in,0.9973972,40,8,.
the,0.9968162,40,9,.
beginning,0.9820589,40,10,.
now,0.99747956,40,11,.
strengthened,0.99080133,40,12,.
by,0.9932801,40,13,.
repeated,0.9769119,40,14,.
contact,0.9751662,40,15,.
with,0.96583277,40,16,.
reality,0.9539466,40,17,.
sees,0.9951888,40,18,.
new,0.99518394,40,19,.
opportunities,0.984586,40,20,.
for,0.9904224,40,21,.
exploration,0.9698397,40,22,.
so,0.9550724,41,0,.
the,0.9700353,41,1,.
cycle,0.76482034,41,2,.
repeats,0.8341867,41,3,.
on,0.98959994,42,0,.
the,0.9979222,42,1,.
shoulders,0.9816734,42,2,.
of,0.99001163,42,3,.
your,0.9909005,42,4,.
original,0.9861139,42,5,.
vision,0.9458147,42,6,.
which,0.99448174,42,7,.
is,0.9988031,42,8,.
now,0.9974228,42,9,.
a,0.99838287,42,10,.
reality,0.987651,42,11,.
after,0.997622,42,12,.
all,0.9980873,42,13,.
the,0.999022,42,14,.
evidence,0.97866327,42,15,.
youve,0.99424493,42,16,.
collected,0.99395335,42,17,.
you,0.990872,42,18,.
can,0.992288,42,19,.
make,0.9960958,42,20,.
a,0.997956,42,21,.
new,0.9921196,42,22,.
bet,0.9338264,42,23,.
starting,0.99558187,42,24,.
with,0.9941467,42,25,.
a,0.9985673,42,26,.
renewed,0.995145,42,27,.
jump,0.9906523,42,28,.
in,0.9661274,42,29,.
motivation,0.9559141,42,30,.
you,0.97752225,43,0,.
can,0.9649348,43,1,.
collect,0.9648007,43,2,.
more,0.9687244,43,3,.
evidence,0.8442926,43,4,.
against,0.9369863,43,5,.
this,0.97208524,43,6,.
new,0.9458394,43,7,.
vision,0.89677846,43,8,.
and,0.99456704,43,9,.
on,0.9923664,43,10,.
and,0.9936846,43,11,.
on,0.9941611,43,12,.
all,0.99356383,44,0,.
the,0.99683964,44,1,.
skills,0.95979327,44,2,.
involved,0.99693286,44,3,.
in,0.99851894,44,4,.
this,0.9718869,44,5,.
cycle,0.9235375,44,6,.
—,0.9921047,44,7,.
clearly,0.9985117,44,8,.
stating,0.9913293,44,9,.
a,0.9949025,44,10,.
vision,0.9727269,44,11,.
tastefully,0.99417996,44,12,.
choosing,0.9971614,44,13,.
an,0.9987473,44,14,.
exploration,0.98392993,44,15,.
direction,0.9951676,44,16,.
and,0.9975113,44,17,.
collecting,0.99599385,44,18,.
useful,0.9975121,44,19,.
evidence,0.9730617,44,20,.
from,0.9971604,44,21,.
reality,0.9943755,44,22,.
—,0.993968,44,23,.
will,0.9945162,44,24,.
get,0.998139,44,25,.
sharper,0.98505944,44,26,.
